base,ride_count,month,avg_lat,avg_lon
B02512,35536,April,40.745492880648186,-73.9813446221401
B02598,183263,April,40.73981247711752,-73.97634237970956
B02617,108001,April,40.73838399117318,-73.97652647016473
B02682,227808,April,40.74010496900429,-73.9765244999165
B02764,9908,April,40.73926620883811,-73.9792396374465
B02512,35021,July,40.743752198388,-73.97856740994291
B02598,245597,July,40.738596625918625,-73.97178016657969
B02617,310160,July,40.739007625562614,-73.97241355417806
B02682,196754,July,40.73905466871272,-73.97184899523235
B02764,8589,July,40.74270142219802,-73.97271130706507
B02512,31472,August,40.740744337553174,-73.97705486745596
B02598,220129,August,40.73732285722493,-73.97009346896917
B02617,355803,August,40.737795218416046,-73.97042876710258
B02682,173280,August,40.737899014824315,-73.96972035146486
B02764,48591,August,40.7374076156332,-73.96560053000965
