ride_date,hour_of_day,ride_count,month
2014-04-01,0,138,April
2014-04-01,1,66,April
2014-04-01,2,53,April
2014-04-01,3,93,April
2014-04-01,4,166,April
2014-04-01,5,333,April
2014-04-01,6,722,April
2014-04-01,7,1001,April
2014-04-01,8,780,April
2014-04-01,9,532,April
2014-04-01,10,477,April
2014-04-01,11,547,April
2014-04-01,12,469,April
2014-04-01,13,591,April
2014-04-01,14,736,April
2014-04-01,15,967,April
2014-04-01,16,1152,April
2014-04-01,17,1262,April
2014-04-01,18,1122,April
2014-04-01,19,1018,April
2014-04-01,20,597,April
2014-04-01,21,878,April
2014-04-01,22,529,April
2014-04-01,23,317,April
2014-04-02,0,161,April
2014-04-02,1,82,April
2014-04-02,2,59,April
2014-04-02,3,80,April
2014-04-02,4,196,April
2014-04-02,5,344,April
2014-04-02,6,785,April
2014-04-02,7,1099,April
2014-04-02,8,927,April
2014-04-02,9,656,April
2014-04-02,10,658,April
2014-04-02,11,706,April
2014-04-02,12,632,April
2014-04-02,13,709,April
2014-04-02,14,868,April
2014-04-02,15,1138,April
2014-04-02,16,1313,April
2014-04-02,17,1600,April
2014-04-02,18,1252,April
2014-04-02,19,1086,April
2014-04-02,20,1143,April
2014-04-02,21,994,April
2014-04-02,22,638,April
2014-04-02,23,348,April
2014-04-03,0,194,April
2014-04-03,1,106,April
2014-04-03,2,66,April
2014-04-03,3,130,April
2014-04-03,4,193,April
2014-04-03,5,354,April
2014-04-03,6,750,April
2014-04-03,7,1022,April
2014-04-03,8,864,April
2014-04-03,9,591,April
2014-04-03,10,558,April
2014-04-03,11,549,April
2014-04-03,12,619,April
2014-04-03,13,766,April
2014-04-03,14,934,April
2014-04-03,15,1247,April
2014-04-03,16,1438,April
2014-04-03,17,1640,April
2014-04-03,18,1628,April
2014-04-03,19,1374,April
2014-04-03,20,1591,April
2014-04-03,21,1714,April
2014-04-03,22,1580,April
2014-04-03,23,793,April
2014-04-04,0,329,April
2014-04-04,1,184,April
2014-04-04,2,117,April
2014-04-04,3,154,April
2014-04-04,4,238,April
2014-04-04,5,381,April
2014-04-04,6,839,April
2014-04-04,7,1202,April
2014-04-04,8,1065,April
2014-04-04,9,769,April
2014-04-04,10,759,April
2014-04-04,11,819,April
2014-04-04,12,827,April
2014-04-04,13,994,April
2014-04-04,14,1190,April
2014-04-04,15,1504,April
2014-04-04,16,1865,April
2014-04-04,17,2280,April
2014-04-04,18,2449,April
