lat_grid,lon_grid,pickup_count,month
40.729,-74,372,July
40.764,-73.985,372,August
40.72,-74.001,372,August
40.739,-73.987,372,August
40.75,-73.977,372,August
40.759,-73.985,371,August
40.754,-73.985,371,August
40.755,-73.981,371,April
40.763,-73.97,371,April
40.743,-74.004,371,July
40.743,-73.98,370,July
40.736,-73.987,370,July
40.735,-74,370,August
40.726,-73.993,370,August
40.733,-73.99,370,August
40.753,-73.975,370,August
40.709,-74.011,370,August
40.765,-73.97,370,August
40.725,-74.003,369,August
40.761,-73.973,369,August
40.756,-73.974,369,July
40.734,-73.991,369,July
40.756,-73.976,369,April
40.726,-74.009,368,April
40.756,-73.972,368,July
40.741,-73.979,368,July
40.735,-74,368,July
40.724,-74.001,368,August
40.716,-74.009,368,August
40.733,-74.004,368,August
40.718,-74.003,368,August
40.757,-73.976,367,August
40.691,-74.178,367,August
40.73,-74.007,367,April
40.761,-73.974,367,April
40.756,-73.984,367,April
40.732,-74.008,366,April
40.765,-73.979,366,April
40.76,-73.975,366,July
40.745,-73.843,366,August
40.745,-73.992,365,August
40.768,-73.983,365,July
40.726,-74.002,365,July
40.762,-73.974,365,April
40.759,-73.989,365,April
40.739,-73.987,365,July
40.744,-73.973,364,July
40.725,-73.981,364,July
40.724,-74.002,364,July
40.72,-74.009,364,July
40.755,-73.993,364,July
40.721,-74.005,364,July
40.721,-74.01,364,April
40.747,-73.99,364,April
40.74,-73.993,364,August
40.763,-73.97,364,August
40.711,-74.016,364,August
40.725,-73.996,363,August
40.73,-74,363,August
40.746,-73.984,363,August
40.719,-73.964,363,August
40.765,-73.978,363,April
40.731,-73.992,363,July
40.759,-73.982,363,July
40.725,-74,363,July
40.728,-74.003,362,July
40.736,-74.003,362,April
40.755,-73.973,362,April
40.731,-73.989,362,April
40.769,-73.862,362,August
40.714,-74.014,362,August
40.724,-74.002,361,April
40.717,-74.009,361,April
40.707,-74.009,361,July
40.761,-74,361,July
40.74,-73.986,361,July
40.724,-74.001,361,July
40.759,-73.968,360,July
40.762,-73.966,360,July
40.745,-74.006,360,July
40.753,-73.984,360,July
40.761,-73.978,360,July
40.725,-73.984,360,July
40.758,-73.978,360,April
40.739,-73.989,360,April
40.732,-74.004,360,August
40.748,-74.005,360,August
40.705,-74.017,360,August
40.707,-74.007,359,August
40.754,-73.989,359,August
40.754,-73.974,359,April
40.763,-73.977,359,July
40.74,-73.993,359,July
40.723,-73.994,359,July
40.757,-73.975,358,April
40.642,-73.788,358,April
40.759,-73.986,358,July
40.741,-73.994,358,July
40.739,-74.002,358,July
40.735,-74.001,358,August
40.729,-73.988,358,August
40.741,-73.994,357,August
40.739,-74.003,357,August
40.747,-73.986,357,August
40.77,-73.864,357,July
40.719,-73.99,357,July
40.763,-73.971,357,April
40.75,-73.974,357,April
40.751,-74.006,357,April
