day_of_week,hour_of_day,ride_count,month,day_type
Monday,0,518,April,Weekday
Monday,0,1260,July,Weekday
Monday,0,1094,August,Weekday
Monday,1,261,April,Weekday
Monday,1,613,July,Weekday
Monday,1,684,August,Weekday
Monday,2,238,April,Weekday
Monday,2,439,July,Weekday
Monday,2,560,August,Weekday
Monday,3,571,April,Weekday
Monday,3,1019,July,Weekday
Monday,3,1186,August,Weekday
Monday,4,1021,April,Weekday
Monday,4,1615,July,Weekday
Monday,4,1836,August,Weekday
Monday,5,1619,April,Weekday
Monday,5,2461,July,Weekday
Monday,5,2786,August,Weekday
Monday,6,2974,April,Weekday
Monday,6,3644,July,Weekday
Monday,6,4098,August,Weekday
Monday,7,3888,April,Weekday
Monday,7,5066,July,Weekday
Monday,7,5357,August,Weekday
Monday,8,3138,April,Weekday
Monday,8,4797,July,Weekday
Monday,8,5060,August,Weekday
Monday,9,2211,April,Weekday
Monday,9,3692,July,Weekday
Monday,9,3844,August,Weekday
Monday,10,1953,April,Weekday
Monday,10,3423,July,Weekday
Monday,10,3666,August,Weekday
Monday,11,1929,April,Weekday
Monday,11,3492,July,Weekday
Monday,11,3592,August,Weekday
Monday,12,1945,April,Weekday
Monday,12,3512,July,Weekday
Monday,12,3564,August,Weekday
Monday,13,2294,April,Weekday
Monday,13,3918,July,Weekday
Monday,13,3995,August,Weekday
Monday,14,3117,April,Weekday
Monday,14,4604,July,Weekday
Monday,14,4572,August,Weekday
Monday,15,3818,April,Weekday
Monday,15,5057,July,Weekday
Monday,15,5251,August,Weekday
Monday,16,4962,April,Weekday
Monday,16,6283,July,Weekday
Monday,16,5974,August,Weekday
Monday,17,5574,April,Weekday
Monday,17,7328,July,Weekday
Monday,17,6508,August,Weekday
Monday,18,4725,April,Weekday
Monday,18,6551,July,Weekday
Monday,18,6135,August,Weekday
Monday,19,4386,April,Weekday
Monday,19,6378,July,Weekday
Monday,19,5773,August,Weekday
Monday,20,3573,April,Weekday
Monday,20,6303,July,Weekday
Monday,20,5586,August,Weekday
Monday,21,3079,April,Weekday
Monday,21,5640,July,Weekday
Monday,21,4775,August,Weekday
Monday,22,1976,April,Weekday
Monday,22,3828,July,Weekday
Monday,22,3559,August,Weekday
Monday,23,1091,April,Weekday
Monday,23,2266,July,Weekday
Monday,23,2178,August,Weekday
Tuesday,0,765,April,Weekday
Tuesday,0,1509,July,Weekday
Tuesday,0,1115,August,Weekday
Tuesday,1,367,April,Weekday
Tuesday,1,779,July,Weekday
Tuesday,1,733,August,Weekday
Tuesday,2,304,April,Weekday
Tuesday,2,556,July,Weekday
Tuesday,2,508,August,Weekday
Tuesday,3,516,April,Weekday
Tuesday,3,935,July,Weekday
Tuesday,3,772,August,Weekday
Tuesday,4,887,April,Weekday
Tuesday,4,1483,July,Weekday
Tuesday,4,1337,August,Weekday
Tuesday,5,1734,April,Weekday
Tuesday,5,2730,July,Weekday
Tuesday,5,2270,August,Weekday
Tuesday,6,3766,April,Weekday
Tuesday,6,4811,July,Weekday
Tuesday,6,3975,August,Weekday
Tuesday,7,5304,April,Weekday
Tuesday,7,6750,July,Weekday
Tuesday,7,5614,August,Weekday
